Name,Price,Rating,Description
"Nokia 2.3 (Cyan Green, 32 GB)","₹9,649",4.1,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB15.75 cm (6.2 inch) HD+ Display13MP + 2MP | 5MP Front Camera4000 mAh BatteryMediaTek Helio A22 Processor1 Year Warranty on Phone
"Nokia 3.2 (Black, 32 GB)","₹12,505",4.1,3 GB RAM | 32 GB ROM15.9 cm (6.26 inch) Display13MP Rear Camera4000 mAh BatteryQualcomm SDM429 Snapdragon 429 Processor1 Year for device & 6 months for box accessories
"Nokia 2.3 (Sand, 32 GB)","₹8,999",4.1,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB15.75 cm (6.2 inch) HD+ Display13MP + 2MP | 5MP Front Camera4000 mAh BatteryMediaTek Helio A22 Processor1 Year Warranty on Phone
"Nokia 2.3 (Cyan Green, 32 GB)","₹9,475",4.1,2 GB RAM | 32 GB ROM15.75 cm (6.2 inch) HD+ Display13MP + 2MP | 5MP Dual Front Camera4000 mAh BatteryMediaTek Helio A22 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"Nokia 3.2 (Steel, 32 GB)","₹10,990",4.1,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB15.9 cm (6.26 inch) Display13MP Rear Camera | 5MP Front Camera4000 mAh BatteryQualcomm Snapdragon 429 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery
"Nokia 5 (Tempered Blue, 16 GB)","₹11,990",4,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB13.21 cm (5.2 inch) HD Display13MP Rear Camera | 8MP Front Camera3000 mAh BatteryQualcomm Snapdragon 430 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 4.2 (Black, 32 GB)","₹12,990",4.1,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB14.5 cm (5.71 inch) HD+ Display13MP + 2MP | 8MP Front Camera3000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery
"Nokia 2.3 (Charcoal, 32 GB)","₹8,999",4.1,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB15.75 cm (6.2 inch) HD+ Display13MP + 2MP | 5MP Front Camera4000 mAh BatteryMediaTek Helio A22 Processor1 Year Warranty on Phone
"Nokia 5 (Matte Black, 16 GB)","₹12,499",4.1,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB13.21 cm (5.2 inch) HD Display13MP Rear Camera | 8MP Front Camera3000 mAh BatteryQualcomm Snapdragon 430 64-bit Octa Core 1.4 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 3.1 (White, 32 GB)","₹11,500",4,3 GB RAM | 32 GB ROM13.21 cm (5.2 inch) Display13MP Rear Camera2990 mAh Battery1 Year Warranty
"Nokia 3.1 (Blue/Copper, 32 GB)","₹11,500",4,3 GB RAM | 32 GB ROM13.21 cm (5.2 inch) Display13MP Rear Camera2990 mAh Battery1 Year Warranty
"Nokia 2.1 (Grey / Silver, 8 GB)","₹7,739",4,1 GB RAM | 8 GB ROM13.97 cm (5.5 inch) HD Display8MP Rear Camera | 5MP Front Camera4000 mAh Battery1 Year Manufacturer Warranty
"Nokia 3.1 (Blue/Copper, 16 GB)","₹9,999",4,2 GB RAM | 16 GB ROM13.21 cm (5.2 inch) Display13MP Rear Camera2990 mAh Battery1 Year Warranty
"Nokia 7.2 (Charcoal, 64 GB)","₹17,999",4.2,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.0 cm (6.3 inch) Full HD+ Display48MP + 5MP + 8MP | 20MP Front Camera3500 mAh BatteryQualcomm Snapdragon 660 ProcessorBrand Warranty of 1 Year Available for Mobile
"Nokia 3.2 (Black, 16 GB)","₹9,499",3.8,2 GB RAM | 16 GB ROM | Expandable Upto 400 GB15.9 cm (6.26 inch) Display13MP Rear Camera | 5MP Front Camera4000 mAh BatteryQualcomm Snapdragon 429 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery
"Nokia 2.1 (Blue&Copper, 8 GB)","₹6,500",4,1 GB RAM | 8 GB ROM13.97 cm (5.5 inch) Display8MP Rear Camera4000 mAh Battery1 Year Warranty
